GOODS,STATE,LOCATION,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,BORONG,FAMA,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,LADANG,NA,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT,RUNCIT
GOODS,STATE,LOCATION,2/12/2021,4/12/2021,7/12/2021,9/12/2021,11/12/2021,14/12/2021,16/12/2021,18/12/2021,21/12/2021,23/12/2021,25/12/2021,28/12/2021,30/12/2021,1/1/2022,4/1/2022,6/1/2022,8/1/2022,11/1/2022,13/1/2022,15/1/2022,18/1/2022,20/1/2022,22/1/2022,25/1/2022,27/1/2022,29/1/2022,1/2/2022,3/2/2022,5/2/2022,8/2/2022,10/2/2022,12/2/2022,15/2/2022,17/2/2022,19/2/2022,22/2/2022,24/2/2022,26/2/2022,1/3/2022,3/3/2022,5/3/2022,8/3/2022,12/3/2022,15/3/2022,17/3/2022,19/3/2022,22/3/2022,24/3/2022,26/3/2022,29/3/2022,31/3/2022,2/4/2022,5/4/2022,7/4/2022,9/4/2022,12/4/2022,14/4/2022,19/4/2022,21/4/2022,23/4/2022,26/4/2022,28/4/2022,5/5/2022,10/5/2022,12/5/2022,14/5/2022,17/5/2022,19/5/2022,21/5/2022,24/5/2022,26/5/2022,28/5/2022,31/5/2022,2/6/2022,4/6/2022,7/6/2022,9/6/2022,11/6/2022,14/6/2022,16/6/2022,18/6/2022,21/6/2022,23/6/2022,25/6/2022,28/6/2022,30/6/2022,2/7/2022,5/7/2022,7/7/2022,9/7/2022,12/7/2022,14/7/2022,16/7/2022,19/7/2022,21/7/2022,23/7/2022,26/7/2022,28/7/2022,30/7/2022,2/8/2022,4/8/2022,6/8/2022,9/8/2022,11/8/2022,13/8/2022,16/8/2022,18/8/2022,20/8/2022,23/8/2022,25/8/2022,27/8/2022,30/8/2022,1/9/2022,3/9/2022,6/9/2022,8/9/2022,10/9/2022,13/9/2022,15/9/2022,17/9/2022,20/9/2022,22/9/2022,24/9/2022,27/9/2022,29/9/2022,1/10/2022,4/10/2022,6/10/2022,8/10/2022,11/10/2022,13/10/2022,15/10/2022,18/10/2022,20/10/2022,25/10/2022,27/10/2022,29/10/2022,1/11/2022,3/11/2022,5/11/2022,8/11/2022,10/11/2022,12/11/2022,15/11/2022,17/11/2022,22/11/2022,24/11/2022,26/11/2022,29/11/2022,1/12/2022,3/12/2022,6/12/2022,10/12/2022,13/12/2022,15/12/2022,17/12/2022,20/12/2022,27/12/2022,29/12/2022,31/12/2022,7/2/2023,9/2/2023,11/2/2023,14/2/2023,16/2/2023,18/2/2023,21/2/2023,23/2/2023,25/2/2023,28/2/2023,13/12/2022,2/12/2021,4/12/2021,7/12/2021,9/12/2021,11/12/2021,14/12/2021,16/12/2021,18/12/2021,21/12/2021,23/12/2021,25/12/2021,28/12/2021,30/12/2021,1/1/2022,4/1/2022,6/1/2022,8/1/2022,11/1/2022,13/1/2022,15/1/2022,18/1/2022,20/1/2022,22/1/2022,25/1/2022,27/1/2022,29/1/2022,1/2/2022,3/2/2022,5/2/2022,8/2/2022,10/2/2022,12/2/2022,15/2/2022,17/2/2022,19/2/2022,22/2/2022,24/2/2022,26/2/2022,1/3/2022,3/3/2022,5/3/2022,8/3/2022,12/3/2022,15/3/2022,17/3/2022,19/3/2022,24/3/2022,26/3/2022,29/3/2022,31/3/2022,2/4/2022,5/4/2022,7/4/2022,9/4/2022,12/4/2022,14/4/2022,16/4/2022,19/4/2022,21/4/2022,23/4/2022,26/4/2022,28/4/2022,5/5/2022,10/5/2022,12/5/2022,14/5/2022,17/5/2022,19/5/2022,21/5/2022,24/5/2022,26/5/2022,28/5/2022,31/5/2022,2/6/2022,4/6/2022,7/6/2022,9/6/2022,11/6/2022,14/6/2022,16/6/2022,18/6/2022,21/6/2022,23/6/2022,25/6/2022,28/6/2022,30/6/2022,2/7/2022,5/7/2022,7/7/2022,9/7/2022,12/7/2022,14/7/2022,16/7/2022,19/7/2022,21/7/2022,23/7/2022,26/7/2022,28/7/2022,30/7/2022,2/8/2022,4/8/2022,6/8/2022,9/8/2022,11/8/2022,13/8/2022,16/8/2022,18/8/2022,20/8/2022,23/8/2022,25/8/2022,27/8/2022,30/8/2022,1/9/2022,3/9/2022,6/9/2022,8/9/2022,10/9/2022,13/9/2022,15/9/2022,17/9/2022,20/9/2022,22/9/2022,24/9/2022,27/9/2022,29/9/2022,1/10/2022,4/10/2022,6/10/2022,8/10/2022,11/10/2022,13/10/2022,15/10/2022,18/10/2022,20/10/2022,25/10/2022,27/10/2022,29/10/2022,1/11/2022,3/11/2022,5/11/2022,8/11/2022,10/11/2022,12/11/2022,15/11/2022,17/11/2022,22/11/2022,24/11/2022,26/11/2022,29/11/2022,1/12/2022,3/12/2022,6/12/2022,10/12/2022,13/12/2022,15/12/2022,17/12/2022,20/12/2022,24/12/2022,27/12/2022,29/12/2022,31/12/2022,7/2/2023,9/2/2023,11/2/2023,14/2/2023,16/2/2023,18/2/2023,21/2/2023,23/2/2023,25/2/2023,28/2/2023,22/11/2022,7/12/2021,8/12/2021,9/12/2021,10/12/2021,11/12/2021,12/12/2021,13/12/2021,14/12/2021,15/12/2021,16/12/2021,17/12/2021,18/12/2021,19/12/2021,20/12/2021,21/12/2021,22/12/2021,23/12/2021,24/12/2021,25/12/2021,26/12/2021,27/12/2021,28/12/2021,29/12/2021,30/12/2021,31/12/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,13/1/2022,14/1/2022,15/1/2022,16/1/2022,17/1/2022,18/1/2022,19/1/2022,20/1/2022,21/1/2022,22/1/2022,23/1/2022,24/1/2022,25/1/2022,26/1/2022,27/1/2022,28/1/2022,29/1/2022,30/1/2022,31/1/2022,1/2/2022,3/2/2022,4/2/2022,5/2/2022,6/2/2022,7/2/2022,8/2/2022,9/2/2022,10/2/2022,11/2/2022,12/2/2022,13/2/2022,14/2/2022,15/2/2022,16/2/2022,17/2/2022,18/2/2022,19/2/2022,20/2/2022,21/2/2022,22/2/2022,23/2/2022,24/2/2022,25/2/2022,26/2/2022,27/2/2022,28/2/2022,1/3/2022,2/3/2022,3/3/2022,4/3/2022,5/3/2022,6/3/2022,7/3/2022,8/3/2022,9/3/2022,10/3/2022,11/3/2022,12/3/2022,13/3/2022,14/3/2022,15/3/2022,16/3/2022,17/3/2022,18/3/2022,19/3/2022,20/3/2022,21/3/2022,22/3/2022,23/3/2022,24/3/2022,25/3/2022,26/3/2022,27/3/2022,28/3/2022,29/3/2022,30/3/2022,31/3/2022,1/4/2022,2/4/2022,3/4/2022,4/4/2022,5/4/2022,6/4/2022,7/4/2022,8/4/2022,9/4/2022,10/4/2022,11/4/2022,12/4/2022,13/4/2022,14/4/2022,15/4/2022,16/4/2022,17/4/2022,18/4/2022,19/4/2022,20/4/2022,21/4/2022,22/4/2022,23/4/2022,24/4/2022,25/4/2022,26/4/2022,27/4/2022,28/4/2022,29/4/2022,30/4/2022,5/5/2022,6/5/2022,7/5/2022,8/5/2022,9/5/2022,10/5/2022,11/5/2022,12/5/2022,13/5/2022,14/5/2022,16/5/2022,17/5/2022,18/5/2022,19/5/2022,20/5/2022,21/5/2022,22/5/2022,23/5/2022,24/5/2022,25/5/2022,26/5/2022,27/5/2022,28/5/2022,29/5/2022,30/5/2022,31/5/2022,1/6/2022,2/6/2022,3/6/2022,4/6/2022,5/6/2022,7/6/2022,8/6/2022,9/6/2022,10/6/2022,11/6/2022,12/6/2022,13/6/2022,14/6/2022,15/6/2022,16/6/2022,17/6/2022,18/6/2022,19/6/2022,20/6/2022,21/6/2022,22/6/2022,23/6/2022,24/6/2022,25/6/2022,26/6/2022,27/6/2022,28/6/2022,29/6/2022,30/6/2022,1/7/2022,2/7/2022,3/7/2022,4/7/2022,5/7/2022,6/7/2022,7/7/2022,8/7/2022,9/7/2022,11/7/2022,12/7/2022,13/7/2022,14/7/2022,15/7/2022,16/7/2022,17/7/2022,18/7/2022,19/7/2022,20/7/2022,21/7/2022,22/7/2022,23/7/2022,24/7/2022,25/7/2022,26/7/2022,27/7/2022,28/7/2022,29/7/2022,30/7/2022,31/7/2022,1/8/2022,2/8/2022,3/8/2022,4/8/2022,5/8/2022,6/8/2022,7/8/2022,8/8/2022,9/8/2022,10/8/2022,11/8/2022,12/8/2022,13/8/2022,14/8/2022,15/8/2022,16/8/2022,17/8/2022,18/8/2022,19/8/2022,20/8/2022,21/8/2022,22/8/2022,23/8/2022,24/8/2022,25/8/2022,26/8/2022,27/8/2022,28/8/2022,29/8/2022,30/8/2022,1/9/2022,2/9/2022,3/9/2022,4/9/2022,5/9/2022,6/9/2022,7/9/2022,8/9/2022,9/9/2022,10/9/2022,11/9/2022,12/9/2022,13/9/2022,14/9/2022,15/9/2022,17/9/2022,18/9/2022,19/9/2022,20/9/2022,21/9/2022,22/9/2022,23/9/2022,24/9/2022,25/9/2022,26/9/2022,27/9/2022,28/9/2022,29/9/2022,30/9/2022,1/10/2022,2/10/2022,3/10/2022,4/10/2022,5/10/2022,6/10/2022,7/10/2022,8/10/2022,10/10/2022,11/10/2022,12/10/2022,13/10/2022,14/10/2022,15/10/2022,16/10/2022,17/10/2022,18/10/2022,19/10/2022,20/10/2022,21/10/2022,22/10/2022,23/10/2022,24/10/2022,25/10/2022,26/10/2022,27/10/2022,28/10/2022,29/10/2022,30/10/2022,31/10/2022,1/11/2022,2/11/2022,3/11/2022,4/11/2022,5/11/2022,6/11/2022,7/11/2022,8/11/2022,9/11/2022,10/11/2022,11/11/2022,12/11/2022,13/11/2022,14/11/2022,15/11/2022,16/11/2022,17/11/2022,20/11/2022,21/11/2022,22/11/2022,23/11/2022,24/11/2022,25/11/2022,26/11/2022,27/11/2022,29/11/2022,30/11/2022,1/12/2022,2/12/2022,3/12/2022,4/12/2022,5/12/2022,6/12/2022,7/12/2022,8/12/2022,9/12/2022,10/12/2022,11/12/2022,12/12/2022,13/12/2022,14/12/2022,15/12/2022,16/12/2022,17/12/2022,18/12/2022,19/12/2022,20/12/2022,21/12/2022,22/12/2022,23/12/2022,24/12/2022,26/12/2022,27/12/2022,28/12/2022,29/12/2022,30/12/2022,31/12/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,13/1/2023,14/1/2023,15/1/2023,16/1/2023,17/1/2023,18/1/2023,19/1/2023,20/1/2023,21/1/2023,24/1/2023,25/1/2023,26/1/2023,27/1/2023,28/1/2023,29/1/2023,30/1/2023,31/1/2023,1/2/2023,2/2/2023,3/2/2023,4/2/2023,5/2/2023,6/2/2023,7/2/2023,8/2/2023,9/2/2023,10/2/2023,11/2/2023,12/2/2023,13/2/2023,14/2/2023,15/2/2023,16/2/2023,17/2/2023,18/2/2023,19/2/2023,20/2/2023,21/2/2023,22/2/2023,23/2/2023,24/2/2023,25/2/2023,26/2/2023,27/2/2023,28/2/2023,1/3/2023,2/3/2023
AYAM BERSIH - STANDARD (1KG),JOHOR,"FAMA JOHOR BAHRU, JOHOR",9.3,9.3,8,8,8,8,8,8,8,8,8,8,8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,,,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,,7.8,7.8,7.8,,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,,7.8,7.8,7.8,7.8,7.8,7.8,7.8,,7.8,7.8,7.8,,7.8,,7.8,7.8,7.8,7.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.55,9.55,9.55,8.1,8.15,8.15,8.15,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,7.6,7.6,7.6,7.6,7.6,7.87,7.9,8,8,8,8,8.15,8.15,8.15,8.15,8.15,8.15,8,8,8,8,8,8,8,8.4,8.4,8.6,8.6,9.1,9.1,9.1,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,8.88,9.3,9.3,9.3,9.05,9.05,9.05,8.75,8.75,8.45,8.45,8.8,8.8,8.8,8.9,8.9,8.9,8.9,9.05,9.2,9.2,9.2,9.2,9.2,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,9.3,,9.3,,,9.3,,9.3,,9.3,,,9.3,,9.3,,9.3,,,9.3,,9.3,,9.1,,,9.1,,9.1,,9.1,,,9.1,,9.1,,9.1,,,9.1,,9.1,,9.1,,,9.1,,9.1,,9.1,,,,,,9.1,,,9.1,,9.1,,9.1,,,9.1,,9.1,,9.1,,,9.1,,,,9.1,,,9,,8.5,,,,,9.1,,9.1,,9.1,,,,,,,9.1,,,9.1,,9.1,,9.1,,,9.1,,,,9.1,,,9.1,,9.1,,9.1,,,9.1,,9.1,,9.1,,,9,,9.1,,9,,,9,,9,,9,,,,,,9,,9,,9,,9,,9,,9,,,10.5,,10.75,,10.75,,,10.75,,10.75,,,10.75,10.75,,10.75,,10.75,,,10.75,,10.75,,,10.75,,10.75,,10.75,,10.75,,,10.75,,10.75,,9.4,,,9.4,,9.4,,9.4,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.4,,9.4,,,9.4,,9.9,,9.9,,9.9,,9.9,,10.5,,,10.5,,10.5,,,,,10.5,,10.5,,10.5,,,10.5,,10.5,,10.5,,,10.5,,10.5,,10.5,,,10.5,,10.5,,,10.5,,10.5,,,10.5,10.5,,10.5,,10.25,,,10.25,,10.25,,10.25,,,,,10.25,,10.25,,,10.25,,10.25,,10.25,,10.5,,10.5,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,10.5,,9.7,,,10.5,,9.85,,,9.85,,10.5,,,,10.5,,,10.5,,
AYAM BERSIH - STANDARD (1KG),JOHOR,"FAMA MIRI, SARAWAK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
